Name,Symbol,ISIN,Stage,Breakout date,% vs pivot (now),Price vs 50-DMA,Price vs 200-DMA
Yasho Industries Limited,NSE:YASHO,INE616Z01012,Climbing,2026-07-21,59,50.1,148.6
Morepen Laboratories Limited,NSE:MOREPENLAB,INE083A01026,Climbing,2026-08-04,41.1,44.6,90.9
BLS E-Services Limited,NSE:BLSE,INE0NLT01010,Climbing,2026-07-01,32.6,15.6,50.8
Universal Cables Limited,NSE:UNIVCABLES,INE279A01012,Climbing,2026-07-31,29.4,33.7,83.8
Shivalik Bimetal Controls Limited,NSE:SBCL,INE386D01027,Climbing,2026-08-07,29.3,30.5,81.3
Kwality Pharmaceuticals Limited,NSE:KPL,INE552U01010,Climbing,2026-08-10,25.4,31,109.8
V MARC INDIA LIMITED,NSE:VMARCIND,INE0GXK01018,Climbing,2026-08-05,24.3,28,116.4
INOX India Limited,NSE:INOXINDIA,INE616N01034,Climbing,2026-06-08,22.9,1.8,38.7
Yash Highvoltage Limited,NSE:YASHHV,INE00GK01023,Climbing,2026-06-17,15.8,3.3,51.8
Azad Engineering Limited,NSE:AZAD,INE02IJ01035,Climbing,2026-08-07,15.3,23.7,53.1
Oracle Financial Services Software Limited,NSE:OFSS,INE881D01027,Climbing,2026-06-24,12.4,6.2,33.3
Craftsman Automation Limited,NSE:CRAFTSMAN,INE00LO01017,Climbing,2026-07-29,11.1,13.5,35.5
Gland Pharma Limited,NSE:GLAND,INE068V01023,Climbing,2026-08-06,10.7,15.3,44.3
NRB Bearing Limited,NSE:NRBBEARING,INE349A01021,Climbing,2026-08-05,9.4,12.6,51.5
Lumax Auto Technologies Limited,NSE:LUMAXTECH,INE872H01027,Climbing,2026-08-11,9,24.9,28.5
Rashi Peripherals Limited,NSE:RPTECH,INE0J1F01024,Climbing,2026-07-30,8.8,14.5,80.7
Shaily Engineering Plastics Limited,NSE:SHAILY,INE151G01028,Climbing,2026-08-05,7.3,13.2,35.8
SIGMA ADVANCED SYSTEMS LIMITED,NSE:SIGMAADV,INE933B01012,Climbing,2026-07-31,7.1,14.3,115.9
Dynamatic Technologies Limited,NSE:DYNAMATECH,INE221B01012,Climbing,2026-08-05,7.1,11.3,18.6
Akums Drugs and Pharmaceuticals Limited,NSE:AKUMS,INE09XN01023,Climbing,2026-08-10,6,12.6,42.8
Hind Rectifiers Limited,NSE:HIRECT,INE835D01023,Climbing,2026-07-15,5.8,5.1,41.5
Tatva Chintan Pharma Chem Limited,NSE:TATVA,INE0GK401011,Climbing,2026-07-20,5.1,14.8,25.6
Standard Engineering Technology Limited,NSE:SETL,INE0M4D01010,Climbing,2026-08-11,4.1,21.2,82.9
SML Mahindra Limited,NSE:SMLMAH,INE294B01019,Climbing,2026-07-30,3.4,20.8,33.7
Shriram Finance Limited,NSE:SHRIRAMFIN,INE721A01047,Climbing,2026-08-05,0.3,6.3,14.3
Talbros Automotive Components Limited,NSE:TALBROAUTO,INE187D01029,Climbing,2026-08-05,-0.7,6.8,37.3
Garware Hi-Tech Films Limited,NSE:GRWRHITECH,INE291A01017,Climbing,2026-08-03,-0.8,3.3,51.4
Aster DM Healthcare Limited,NSE:ASTERDM,INE914M01019,Climbing,2026-08-04,-0.8,1.4,17.8
Jindal Saw Limited,NSE:JINDALSAW,INE324A01032,Climbing,2026-08-10,-2.6,3.3,29.1
